raw_description,amount,currency,direction,transaction_type,merchant_name,mcc,label,source
PAYPAL APPLE MUSIC 67869 25 MAY,17.85,GBP,debit,PAYPAL,APPLE MUSIC,5968,Subscriptions,synthetic
CARD PAYMENT TEXACO 87146 20230717,63.46,GBP,debit,CARD,TEXACO,5172,Fuel,sandbox
CARD PAYMENT GOOGLE STORAGE 65164 17MAY,12.45,GBP,debit,CARD,GOOGLE STORAGE,5968,Subscriptions,synthetic
DD NHS PRESCRIPTION,112.55,GBP,debit,DD,NHS PRESCRIPTION,8011,Healthcare,synthetic
CASH WITHDRAWAL CASH MACHINE REF 29548675,313.43,GBP,debit,ATM,CASH MACHINE,6010,Cash Withdrawal,synthetic
DD CHURCHILL  08 JAN,298.94,GBP,debit,DD,CHURCHILL,6300,Insurance,synthetic
STRIPE CURRYS  20260322,68.62,GBP,debit,STRIPE,CURRYS,5310,Shopping,synthetic
CARD PAYMENT NSPCC 16343,69.96,GBP,debit,CARD,NSPCC,8398,Charity,synthetic
CARD AMAZON PRIME,13.67,GBP,debit,CARD,AMAZON PRIME,5734,Subscriptions,synthetic
DIRECT DEBIT MORTGAGE PAYMENT,1104.79,GBP,debit,DD,MORTGAGE PAYMENT,9399,Rent/Mortgage,synthetic
POS ASDA,95.18,GBP,debit,POS,ASDA,5499,Groceries,synthetic
CARD PAYMENT WAITROSE,118.27,GBP,debit,CARD,WAITROSE,5499,Groceries,synthetic
POS CURRYS MANCHESTER,136.00,GBP,debit,POS,CURRYS,5311,Shopping,synthetic
FOREIGN TRANSACTION FEE,32.52,GBP,debit,DD,,6012,Fees,synthetic
POS JOHN LEWIS REF 12082019,41.36,GBP,debit,POS,JOHN LEWIS,5310,Shopping,synthetic
VISA WAGAMAMA 38384 02/05/2024.,52.45,GBP,debit,CARD,WAGAMAMA,5814,Dining,synthetic
LINK ATM ATM  19603,401.67,GBP,debit,ATM,ATM,6010,Cash Withdrawal,synthetic
CARD AMAZON LONDON 23FEB,225.85,GBP,debit,CARD,AMAZON,5310,Shopping,synthetic
CARD MARKS & SPENCER,7.95,GBP,debit,CARD,MARKS & SPENCER,5300,Groceries,synthetic
POS BUPA,7.44,GBP,debit,POS,BUPA,8049,Healthcare,synthetic
VISA EXPEDIA 75028,348.94,GBP,debit,CARD,EXPEDIA,4722,Travel,synthetic
CARD PAYMENT POST OFFICE  28118,137.40,GBP,debit,CARD,POST OFFICE,7299,Other,synthetic
CARD ADOBE REF 81386830,14.38,GBP,debit,CARD,ADOBE,4899,Subscriptions,synthetic
CARD BOLT LONDON 35160,16.20,GBP,debit,CARD,BOLT,4111,Transport,synthetic
MASTERCARD MORRISONS PETROL 50421 26 JAN,21.35,GBP,debit,CARD,MORRISONS PETROL,5541,Fuel,synthetic
MASTERCARD NANDO'S MANCHESTER,38.71,GBP,debit,CARD,NANDO'S,5814,Dining,synthetic
BACS JUSTGIVING 16287 05FEB,35.24,GBP,debit,BACS,JUSTGIVING,8398,Charity,synthetic
VISA ETSY LONDON 27DEC,216.47,GBP,debit,CARD,ETSY,5311,Shopping,synthetic
BACS BLUEFIN SOLUTIONS PAYROLL 17/11/2026,3164.05,GBP,credit,BACS,BLUEFIN SOLUTIONS,,Salary,synthetic
DD KINGS COLLEGE LONDON,408.76,GBP,debit,DD,KINGS COLLEGE LONDON,8299,Education,synthetic
ATM CASH MACHINE REF 59119307,457.06,GBP,debit,ATM,CASH MACHINE,6011,Cash Withdrawal,synthetic
FASTER PAYMENT BLUEFIN SOLUTIONS PAYROLL REF 26148236,5321.99,GBP,credit,FPS,BLUEFIN SOLUTIONS,,Salary,synthetic
APPLE PAY GETT 55396 16JAN,49.43,GBP,debit,APPLE_PAY,GETT,4131,Transport,synthetic
BACS MONTHLY SALARY BLUEFIN SOLUTIONS,2577.00,GBP,credit,BACS,BLUEFIN SOLUTIONS,,Salary,synthetic
CARD TESCO PETROL LONDON 18OCT,21.04,GBP,debit,CARD,TESCO PETROL,5542,Fuel,synthetic
PAYPAL COURSERA NEWCASTLE 42477,240.80,GBP,debit,PAYPAL,COURSERA,8220,Education,synthetic
POS PASSPORT OFFICE 53675,176.07,GBP,debit,POS,PASSPORT OFFICE,7299,Other,synthetic
BACS SELF ASSESSMENT TAX,275.00,GBP,debit,BACS,COUNCIL TAX,9399,Taxes,synthetic
APPLE PAY CAFE LOCAL LONDON 58698.,14.52,GBP,debit,APPLE_PAY,CAFE LOCAL,5812,Coffee Shops,sandbox
BACS BT GROUP,45.88,GBP,debit,BACS,BT GROUP,4814,Utilities,synthetic
DD UNITED UTILITIES,27.12,GBP,debit,DD,UNITED UTILITIES,4899,Utilities,synthetic
MASTERCARD MORRISONS PETROL BIRMINGHAM,129.11,GBP,debit,CARD,MORRISONS PETROL,5541,Fuel,synthetic
APPLE PAY BURGER KING LONDON 06 MAR //,30.63,GBP,debit,APPLE_PAY,BURGER KING,5814,Dining,synthetic
LINK ATM CASH MACHINE LONDON 07/01/2025,356.78,GBP,debit,ATM,CASH MACHINE,6010,Cash Withdrawal,synthetic
CARD NERO ,3.79,GBP,debit,CARD,NERO,5814,Coffee Shops,synthetic
POS BUPA,87.20,GBP,debit,POS,BUPA,8021,Healthcare,sandbox
DD KINGS COLLEGE LONDON LONDON 11 DEC,405.88,GBP,debit,DD,KINGS COLLEGE LONDON,8299,Education,synthetic
POS TICKETMASTER REF 92170846,113.66,GBP,debit,POS,TICKETMASTER,7999,Entertainment,synthetic
VISA NETFLIX REF 64351228,11.95,GBP,debit,CARD,NETFLIX,4899,Subscriptions,synthetic
CARD PAYMENT JL,65.12,GBP,debit,CARD,JL,5310,Shopping,synthetic
BACS HAIRDRESSERS 88892,11.25,GBP,debit,BACS,HAIRDRESSERS,5999,Other,synthetic
PAYPAL XBOX,40.60,GBP,debit,PAYPAL,XBOX,7832,Entertainment,sandbox
PAYPAL DROPBOX REF 56364889,16.50,GBP,debit,PAYPAL,DROPBOX,4899,Subscriptions,synthetic
DIRECT DEBIT VODAFONE PAYMENT,163.78,GBP,debit,DD,VODAFONE,4812,Utilities,synthetic
BACS GOV.UK REF 87675137,153.01,GBP,debit,BACS,GOV.UK,5999,Other,synthetic
POS DRY CLEANERS ,148.79,GBP,debit,POS,DRY CLEANERS,7299,Other,synthetic
CARD PAYMENT STEAM GAMES  10 MAR,135.48,GBP,debit,CARD,STEAM GAMES,7832,Entertainment,synthetic
STANDING ORDER RENT 20240820 //,917.63,GBP,debit,SO,RENT,9399,Rent/Mortgage,synthetic
GOOGLE PAY COOP 31129,15.65,GBP,debit,GOOGLE_PAY,COOP,5300,Groceries,synthetic
PAYPAL ADOBE //,30.68,GBP,debit,PAYPAL,ADOBE,5734,Subscriptions,synthetic
SQ TIM HORTONS REF 63255602,3.05,GBP,debit,SQUARE,TIM HORTONS,5812,Coffee Shops,synthetic
POS MORRISONS PETROL 83377 19AUG,75.38,GBP,debit,POS,MORRISONS PETROL,5541,Fuel,synthetic
CARD BHF 56910 18SEP,56.84,GBP,debit,CARD,BHF,8398,Charity,synthetic
STRIPE ARGOS REF 39009455,111.42,GBP,debit,STRIPE,ARGOS,5311,Shopping,synthetic
CARD PIZZA HUT CARDIFF 55378,22.86,GBP,debit,CARD,PIZZA HUT,5814,Dining,synthetic
ATM ATM 288 13 FEB,346.03,GBP,debit,ATM,ATM,6011,Cash Withdrawal,synthetic
DD THREE PAYMENT,70.89,GBP,debit,DD,THREE,4899,Utilities,synthetic
BACS JANE DOE 12-34-56 87654321 RENT AUGUST,2409.05,GBP,debit,BACS,BARCLAYS MORTGAGE,6513,Rent/Mortgage,synthetic
CARD PAYMENT TRANSPORT FOR LONDON 92860,19.86,GBP,debit,CARD,TRANSPORT FOR LONDON,4121,Transport,synthetic
GOOGLE PAY WAITROSE LONDON 16NOV,37.43,GBP,debit,GOOGLE_PAY,WAITROSE,5411,Groceries,synthetic
BACS HASTINGS 26930,120.75,GBP,debit,BACS,HASTINGS,6300,Insurance,synthetic
CARD CAFE LOCAL 65474 20250628,12.23,GBP,debit,CARD,CAFE LOCAL,5814,Coffee Shops,synthetic
CARD PAYMENT SANTANDER CYCLES REF 45026810,2.65,GBP,debit,CARD,SANTANDER CYCLES,4121,Transport,synthetic
BACS SALARY HALCYON GROUP,2445.81,GBP,credit,BACS,HALCYON GROUP,,Salary,synthetic
SQ CAFFE NERO.,10.81,GBP,debit,SQUARE,CAFFE NERO,5814,Coffee Shops,synthetic
CARD PAYMENT NOW TV REF 67813680,4.44,GBP,debit,CARD,NOW TV,4899,Subscriptions,synthetic
PAYPAL GOOGLE STORAGE ,29.43,GBP,debit,PAYPAL,GOOGLE STORAGE,4899,Subscriptions,synthetic
BACS COURSERA *,69.79,GBP,debit,BACS,COURSERA,8220,Education,synthetic
POS PLAYSTATION NETWORK 25643 20230424,12.30,GBP,debit,POS,PLAYSTATION NETWORK,7922,Entertainment,synthetic
CARD POST OFFICE ,97.59,GBP,debit,CARD,POST OFFICE,7299,Other,synthetic
PAYPAL UCL 10/10/2026 //,68.72,GBP,debit,PAYPAL,UCL,8220,Education,synthetic
PAYPAL SPOTIFY 37519,19.96,GBP,debit,PAYPAL,SPOTIFY,5968,Subscriptions,synthetic
BACS INCOME TAX PAYMENT,144.55,GBP,debit,BACS,HM REVENUE & CUSTOMS,9211,Taxes,synthetic
SO E.ON PAYMENT,293.57,GBP,debit,SO,E.ON,4899,Utilities,synthetic
PAYPAL AIRBNB GATWICK,156.50,GBP,debit,PAYPAL,AIRBNB,4411,Travel,synthetic
ATM LINK ATM 88804 18OCT,390.21,GBP,debit,ATM,LINK ATM,6010,Cash Withdrawal,sandbox
PAYPAL CITY LIT REF 39055218,178.18,GBP,debit,PAYPAL,CITY LIT,8220,Education,synthetic
DD VISION EXPRESS MANCHESTER 14JAN,45.42,GBP,debit,DD,VISION EXPRESS,8049,Healthcare,synthetic
POS TIM HORTONS OXFORD 61598 *,8.06,GBP,debit,POS,TIM HORTONS,5814,Coffee Shops,synthetic
CARD PAYMENT EXPEDIA,195.98,GBP,debit,CARD,EXPEDIA,4411,Travel,synthetic
CARD BUPA 7672 24/08/2026,39.22,GBP,debit,CARD,BUPA,5912,Healthcare,sandbox
PAYPAL NEWCASTLE COLLEGE REF 89690342 //,349.29,GBP,debit,PAYPAL,NEWCASTLE COLLEGE,8220,Education,synthetic
CARD JET LONDON 02 AUG,64.98,GBP,debit,CARD,JET,5542,Fuel,synthetic
CARD AIRBNB,30.50,GBP,debit,CARD,AIRBNB,4511,Travel,synthetic
LATE PAYMENT FEE,7.85,GBP,debit,DD,HSBC,6012,Fees,synthetic
CARD PAYMENT SAINSBURY'S 32198 20231014,26.26,GBP,debit,CARD,SAINSBURY'S,5300,Groceries,synthetic
CARD PAYMENT PREZZO 19616 12JUL,32.60,GBP,debit,CARD,PREZZO,5812,Dining,synthetic
BACS OPTICIANS 47146,32.89,GBP,debit,BACS,OPTICIANS,8011,Healthcare,synthetic
PAYPAL JL MANCHESTER,87.96,GBP,debit,PAYPAL,JL,5310,Shopping,synthetic
BACS RED CROSS REF 26669270,39.39,GBP,debit,BACS,RED CROSS,8398,Charity,synthetic
POS PRET 90502 12 MAR,13.45,GBP,debit,POS,PRET,5812,Coffee Shops,synthetic
